GEO_ID,zipcode,HouseholdsEstimateTotal,HouseholdsMargin of ErrorTotal,HouseholdsEstimateMedian income (dollars),HouseholdsMargin of ErrorMedian income (dollars),HouseholdsEstimateMean income (dollars),HouseholdsMargin of ErrorMean income (dollars)
8600000US10451,10451,18140,405,26048,2140,40836,3424
8600000US10452,10452,25432,368,24790,1337,36083,1578
8600000US10453,10453,26802,409,23095,1605,33354,1416
8600000US10454,10454,12790,247,20210,1930,31533,2272
8600000US10455,10455,14023,329,23253,1598,32854,2127
8600000US10456,10456,29255,436,23956,1688,35722,2118
8600000US10457,10457,23749,422,24750,1471,36604,2624
8600000US10458,10458,26349,517,27912,2345,41474,2736
8600000US10459,10459,15688,318,23761,1626,35964,2440
8600000US10460,10460,19776,356,23209,1491,35624,1779
8600000US10461,10461,19086,412,51568,2699,68790,3409
8600000US10462,10462,29345,479,45760,2075,57940,2128
8600000US10463,10463,27458,478,56482,2218,80384,4046
8600000US10464,10464,2024,172,75208,12456,90671,10854
8600000US10465,10465,15560,303,73776,4871,85312,3894
8600000US10466,10466,22891,400,42478,2617,56348,2138
8600000US10467,10467,35178,486,35117,1361,46518,1666
8600000US10468,10468,24631,414,34784,1932,44912,1913
8600000US10469,10469,22014,389,57207,2764,70069,2066
8600000US10470,10470,5747,245,57706,5180,70509,4493
8600000US10471,10471,8620,318,80222,6946,105625,8267
8600000US10472,10472,21303,417,29308,1939,41909,1679
8600000US10473,10473,20624,340,36764,1646,51802,2228
8600000US10474,10474,3613,177,26585,3028,36171,4123
8600000US10475,10475,18271,433,44923,5137,59288,5215
8600000US10550,10550,13308,405,40698,1473,55606,3389
8600000US11370,11370,8809,291,53427,4549,75046,9658
8600000US11201,11201,25664,476,101150,3294,152775,6491
8600000US11203,11203,27447,362,45936,1960,58403,1579
8600000US11204,11204,24480,415,46560,2520,65150,2309
8600000US11205,11205,15198,353,47575,3834,73353,3929
8600000US11206,11206,29525,601,30779,1625,49425,2327
8600000US11207,11207,32005,506,34252,2116,47113,1727
8600000US11208,11208,29806,485,35698,1290,48043,1953
8600000US11209,11209,30483,414,62761,3103,87004,2810
8600000US11210,11210,21925,387,57565,2781,77666,3144
8600000US11211,11211,37381,523,54406,3227,84221,3210
8600000US11212,11212,31443,478,28207,1206,40177,1411
8600000US11213,11213,24163,407,34701,2399,47669,2218
8600000US11214,11214,31512,429,49828,2741,66803,2586
8600000US11215,11215,29182,462,103716,3761,144180,6394
8600000US11216,11216,23048,539,47107,2635,65962,3017
8600000US11217,11217,16797,341,87091,6243,126829,6688
8600000US11218,11218,24909,371,56120,3925,78208,3788
8600000US11219,11219,26390,429,35974,1355,52503,1818
8600000US11220,11220,29399,470,38893,1679,54640,1790
8600000US11221,11221,28918,518,40635,2093,54815,2279
8600000US11222,11222,16689,317,72409,3681,87421,3644
8600000US11223,11223,27532,441,43019,2276,64964,2603
8600000US11224,11224,18064,380,28006,4093,50455,5400
8600000US11225,11225,23133,405,44911,3112,62860,3579
8600000US11226,11226,36009,460,43399,2527,58646,1989
8600000US11228,11228,15285,318,64250,3588,87560,3073
8600000US11229,11229,30764,526,52168,1953,71111,2025
8600000US11230,11230,30653,430,41068,1954,66632,2753
8600000US11231,11231,15265,359,83310,5416,128453,8311
8600000US11232,11232,8784,294,44474,3462,60019,4110
8600000US11233,11233,26987,433,33745,2872,50071,2363
8600000US11234,11234,32185,439,71115,1904,89848,2695
8600000US11235,11235,32065,467,42818,2844,68373,3001
8600000US11236,11236,32442,400,58705,1684,72543,1582
8600000US11237,11237,16582,363,44950,2489,62004,3688
8600000US11238,11238,23310,526,70873,4505,93918,3877
8600000US11239,11239,6362,141,26186,5101,34840,3137
8600000US11425,11425,0,11,,,,
8600000US10001,10001,11639,506,86801,10346,158183,25853
8600000US10002,10002,33348,548,33726,3127,61946,2672
8600000US10003,10003,27487,679,98151,5628,161692,10734
8600000US10004,10004,1574,201,119691,15833,177262,24337
8600000US10005,10005,4252,396,124194,10342,176424,28643
8600000US10006,10006,1745,225,123691,27459,162688,23020
8600000US10007,10007,2781,229,"250,000",,441278,56347
8600000US10009,10009,29770,465,59090,5355,85207,5441
