Scientific name,Common name,Photo,Size,Native Species,Planted in NYC streets,Edible fruit
Acer platanoides,Norway maple,,Large,"Non-Native, Invasive[6]","Yes, Approved",No
Acer rubrum,Red maple,,Large,Native,Yes,
Acer saccharinum,Silver maple,,Large,Native,Yes,
Aesculus hippocastanum,Horse-chestnut,,Large,Non-Native,Yes,
Aesculus octandra,Common buckeye,,Large,Native,Yes,
Ailanthus altissima,Tree of heaven,,Large,"Non-Native, Invasive[6]","Yes, Not Approved",No
Alnus glutinosa,European alder,,Large,Non-Native,Yes,
Amelanchier canadensis,Serviceberry,,Small,Native,Yes,
Betula nigra,Black birch,,Large,Native,Yes,
Carpinus betulus,European hornbeam,,Large,Non-Native,Yes,
Carpinus caroliniana,American hornbeam,,Medium,Native,Yes,
Carya laciniosa,Shellback hickory,,Large,Native,,
Catalpa speciosa,Northern catalpa,,Medium,Non-Native,,
Cedrus,Cedar,,Large,Non-Native,,
Celtis occidentalis,Common hackberry,,Medium,Native,,
Cercidiphyllum japonicum,Katsura,,Medium,Non-Native,,
Cercis canadensis,Eastern redbud,,Medium,Non-Native,,
Chionanthus virginicus,White fringetree,,Medium,Non-Native,,
Cladrastis kentukea,Kentucky yellowwood,,Medium,Non-Native,,
Cornus mas,Cornelian cherry,,Small,Non-Native,,Yes
Corylus colurna,Turkish hazel,,Tall,Non-Native,,
Crataegus,Hawthorn,,Medium,Native,,
Crataegus spathulata,Littlehip hawthorn,,,,,
Diospyros virginiana,American persimmon,,,,,
Eucommia ulmoides,Eucommia ulmoides,,,,,
Fagus sylvatica,European beech,,,,,
Fagus sylvatica 'Pendula',Weeping beech,,Large,"Non-Native, Not Invasive","No, Not Approved",No
Ginkgo biloba,Ginkgo,,,,,
Gleditsia triacanthos inermis,Honey locust,,,,,
Gymnocladus dioicus,Kentucky coffeetree,,,,,
Halesia,Silverbell,,,,,
Hamamelis,Witch-hazel,,,,,
Ilex,Holly,,,,,
Juglans,Walnut trees,,,,,
Juniperus,Juniper,,,,,
Koelreuteria paniculata,Goldenrain tree,,,Non-Native,,
Laburnum,Golden chain,,,,,
Larix laricina,American larch,,,,,
Liquidambar styraciflua,Sweetgum,,,,,
Liriodendron tulipifera,Tulip tree,,,,,
Maackia amurensis,Amur maackia,,,,,
Maclura pomifera,Maclura pomifera,,,,,
Magnolia grandiflora,Laurel magnolia,,Large,"Non-Native, Not Invasive","No, Not Approved",No
Malus spectabilis,Chinese flowering apple,,,Non-Native,,
Metasequoia glyptostroboides,Dawn redwood,,,Non-Native,,
Morus,Mulberry,,,,,
Nyssa sylvatica,Black gum,,,,,
Ostrya virginiana,American hophornbeam,,,,,
Oxydendrum,Sorrel tree,,,,,
Phellodendron amurense,Amur cork tree,,,,,
Picea pungens,Blue spruce,,,,,
Pinus resinosa,Red pine,,,,,
Pinus strobus,White pine,,,,,
Pinus sylvestris,Scots pine,,,,,
Platanus × acerifolia,London planetree,,,Non-Native,,
Populus,Poplar,,,,,
Prunus 'Kanzan',Cherry Kanzan,,,,,
Prunus × incam,Okamé cherry,,,,,
Prunus × yedoensis,Yoshino cherry,,,,,
Prunus cerasifera,Cherry plum,,,,,
Prunus padus,Cherry,,,,,
Prunus sargentii,Cherry,,,,,
Prunus virginiana 'Schubert',Cherry,,,,,
Pseudotsuga menziesii ssp. glauca,Douglas Fir,,Non-Native,,,
Pyrus calleryana,Callery pear,,,,,
Quercus acutissima,Sawtooth oak,,,,,
Quercus alba,White oak,,,,,
Quercus bicolor,Swamp white oak,,,,,
Quercus coccinea,Scarlet oak,,,,,
Quercus dentata,Japanese emperor oak,,,Non-Native,,
Quercus fastigiata,English oak,,,,,
Quercus frainetto,Hungarian oak,,,,,
Quercus imbricaria,Shingle oak,,,,,
Quercus macrocarpa,Bur oak,,,,,
Quercus montana,Chestnut oak,,,,,
Quercus muehlenbergii,Chinkapin oak,,,,,
Quercus palustris,Pin oak,,,,,
Quercus phellos,Willow oak,,,,,
Quercus robur,Common oak,,,Non-Native,,
Quercus rubra,Northern red oak,,Native,,,
Quercus shumardii,Shumard oak,,Non-Native,,,
Quercus texana,Nuttall's oak,,Non-Native,,,
Quercus velutina,Eastern black oak,,Native,,,
Robinia,Locusts,,,,,
Salix,Willow,,,,,
Sassafras albidum,Sassafras,,Native,,,
Sorbus aucuparia,Rowan tree,,,Non-Native,,
Styphnolobium japonicum,Japanese pagoda tree,,,Non-Native,,
Styrax japonicus,Japanese snowbell,,,Non-Native,,
Syringa reticulata,Japanese tree lilac,,,Non-Native,,
Syringa reticulata subsp. pekinensis,Chinese tree lilac,,,Non-Native,,
Taxodium distichum,Bald cypress,,,Non-Native,,
Thuja occidentalis,Northern white-cedar,,,Native,,
Tilia americana,American linden,,,Native,,
Tilia cordata,Littleleaf linden,,,Non-Native,,
Tilia tomentosa,Silver linden,,,Non-Native,,
Tsuga canadensis,Eastern hemlock,,,Native,,
Ulmus americana,American elm,,Large,Native,,
Ulmus glabra 'Camperdownii',Camperdown elm,,Medium,"Non-Native, Not Invasive","No, Not Approved",No
Ulmus parvifolia,Chinese elm,,,Non-Native,,
Ulmus minor,English elm,,Large,Non-Native,"No, Not Approved",No
Zelkova serrata,Japanese zelkova,,,Non-Native,,
